Model,Pris,Kørte_kilometer,Link_til_bil,scrapedate,Pris_DKK,Pris_med_afgift
VW ID.4 Volkswagen Pro Performance 150kW Bidirektionales Laden,33480,7652,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897216742num_on_page2page16search_id56379707titleVWID.4gebrauchtkaufen,2024-11-22,249426,311782.5
VW ID.4 Pro 4MOTION 77 kWh 1GangAutomatik,51728,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1820483970num_on_page3page16search_id56379707titleVWID.4gebrauchtkaufen,2024-11-22,385373.60000000003,481717.00000000006
VW ID.4 Volkswagen Pure NAVI LED PDC SPURH KLIMAA SOUNDSYS,24349,21684,httpswww.12gebrauchtwagen.decpartnercar_ad_id1902289410num_on_page4page16search_id56379707titleVWID.4gebrauchtkaufen,2024-11-22,181400.05000000002,226750.06250000003
VW ID.4 Volkswagen 220 kW GTX 4Motion,49890,5000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1876091123num_on_page1page16search_id56379707titleVWID.4gebrauchtkaufen,2024-11-22,371680.5,464600.625
VW ID.4 Volkswagen Pure 170 PS,329000,1,httpswww.12gebrauchtwagen.decpartnercar_ad_id1816883581num_on_page2page16search_id56360830titleVWID.4gebrauchtkaufen,2024-11-22,2451050,3063812.5
VW ID.4 Pro,52215,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1818718023num_on_page2page16search_id56379707titleVWID.4gebrauchtkaufen,2024-11-22,389001.75,486252.1875
VW ID.4 Volkswagen Pure GOAL 125kW 52kWh Design,460000,1,httpswww.12gebrauchtwagen.decpartnercar_ad_id1816879204num_on_page4page16search_id56360830titleVWID.4gebrauchtkaufen,2024-11-22,3427000,4283750
VW ID.4 Pure Performance Navi ACC,50383,10,httpswww.12gebrauchtwagen.decpartnercar_ad_id1817089537num_on_page3page16search_id56379707titleVWID.4gebrauchtkaufen,2024-11-22,375353.35000000003,469191.68750000006
VW ID.4 Pro 77 kWh 1GangAutomatik Move Sofort Verfügbar,52218,8,httpswww.12gebrauchtwagen.decpartnercar_ad_id1817061131num_on_page1page16search_id56379707titleVWID.4gebrauchtkaufen,2024-11-22,389024.10000000003,486280.12500000006
VW ID.4 Volkswagen Pro 204PS 77kWh KomfortAssistenz Wärmepumpe,37900,11930,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894141757num_on_page2page16search_id56360830titleVWID.4gebrauchtkaufen,2024-11-22,282355,352943.75
VW ID.4 Pro WÄRMEPUMPE 21 IQ.LIGHT AHK NAVI PANO AREAVIEW DCC ACC DAB,38749,19850,httpswww.12gebrauchtwagen.decpartnercar_ad_id1870617903num_on_page1page17premiumfalsesearch_id56379749titleVWID.4gebrauchtkaufen,2024-11-22,288680.05,360850.0625
VW ID.4 Pro Performance Basis Wärmepumpe Navi ACC,52748,10,httpswww.12gebrauchtwagen.decpartnercar_ad_id1817132639num_on_page2page17premiumfalsesearch_id56379749titleVWID.4gebrauchtkaufen,2024-11-22,392972.60000000003,491215.75000000006
VW ID.4 Pro 150kW 1Gang Automatik 4 Türen,26700,60073,httpswww.12gebrauchtwagen.decpartnercar_ad_id1888514765num_on_page3page17premiumfalsesearch_id56379749titleVWID.4gebrauchtkaufen,2024-11-22,198915,248643.75
VW ID.4 Volkswagen Pro AHK IQ.Light,541000,1,httpswww.12gebrauchtwagen.decpartnercar_ad_id1816875398num_on_page1page17search_id56360893titleVWID.4gebrauchtkaufen,2024-11-22,4030450,5038062.5
"VW ID.4 Pro 210 kW Goal, AHK, DesignPaket",52405,10,httpswww.12gebrauchtwagen.decpartnercar_ad_id1817091403num_on_page1page17search_id56379749titleVWID.4gebrauchtkaufen,2024-11-22,390417.25,488021.5625
VW ID.4 Pro 77kWhLEDAssistenzpaketRFKWärmepumpe,36780,17040,httpswww.12gebrauchtwagen.decpartnercar_ad_id1877439498num_on_page2page17search_id56379749titleVWID.4gebrauchtkaufen,2024-11-22,274011,342513.75
VW ID.4 286 PS 77 kWh 1GangAutomatik Pro 210 kW mit InfotainmentPaket,63862,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1881565185num_on_page3page17search_id56379749titleVWID.4gebrauchtkaufen,2024-11-22,475771.9,594714.875
VW ID.4 Volkswagen Pro h LED KAMERA NAVI KEYLESS,506000,1,httpswww.12gebrauchtwagen.decpartnercar_ad_id1816869975num_on_page5page17search_id56360893titleVWID.4gebrauchtkaufen,2024-11-22,3769700,4712125
VW ID.4 Pro 77 kWh Automatik Pro InfotainmentPaket,54048,10,httpswww.12gebrauchtwagen.decpartnercar_ad_id1903372102num_on_page1page17search_id56379749titleVWID.4gebrauchtkaufen,2024-11-22,402657.60000000003,503322.00000000006
VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen,52215,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1891070322num_on_page2page17search_id56360893titleVWID.4gebrauchtkaufen,2024-11-22,389001.75,486252.1875
VW ID.4 Pro WÄRMEPUMPE 21 IQ.LIGHT AHK NAVI PANO AREAVIEW DCC ACC DAB,38749,19850,httpswww.12gebrauchtwagen.decpartnercar_ad_id1870843783num_on_page2page17search_id56379749titleVWID.4gebrauchtkaufen,2024-11-22,288680.05,360850.0625
VW ID.4 Volkswagen GTX NP72 PANO LM21 AHK,44690,13271,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897662068num_on_page3page17search_id56379749titleVWID.4gebrauchtkaufen,2024-11-22,332940.5,416175.625
VW ID.4 Pro Elektro aut. ACC AHK 150kW 20...,47980,19277,httpswww.12gebrauchtwagen.decpartnercar_ad_id1713840723num_on_page4page17search_id56379749titleVWID.4gebrauchtkaufen,2024-11-22,357451,446813.75
VW ID.4 Pure 109kW 1Gang Automatik 4 Türen,21570,27205,httpswww.12gebrauchtwagen.decpartnercar_ad_id1888514458num_on_page1page17search_id56302028titleVWID.4gebrauchtkaufen,2024-11-22,160696.5,200870.625
VW ID.4 Volkswagen Pro GOAL AHK Desingpaket,544000,1,httpswww.12gebrauchtwagen.decpartnercar_ad_id1846674765num_on_page1page17search_id56360893titleVWID.4gebrauchtkaufen,2024-11-22,4052800,5066000
VW ID.4 Pro Performance 1st Max 77 KWh HUD 360 AHK DCC Panoramadach,28890,109732,httpswww.12gebrauchtwagen.decpartnercar_ad_id1875279152num_on_page1page17search_id56379749titleVWID.4gebrauchtkaufen,2024-11-22,215230.5,269038.125
VW ID.4 Volkswagen 220kW 4Mot GTX WP HUD ACC Matrix Navi Kamer,33990,13519,httpswww.12gebrauchtwagen.decpartnercar_ad_id1902244936num_on_page2page17search_id56379749titleVWID.4gebrauchtkaufen,2024-11-22,253225.5,316531.875
VW ID.4 Volkswagen Pure Performance SOFORT,490000,10,httpswww.12gebrauchtwagen.decpartnercar_ad_id1909475686num_on_page4page17search_id56360893titleVWID.4gebrauchtkaufen,2024-11-22,3650500,4563125
VW ID.4 Volkswagen GTX ACCKameraMatrixLED,31950,40978,httpswww.12gebrauchtwagen.decpartnercar_ad_id1901669100num_on_page1page17search_id56379749titleVWID.4gebrauchtkaufen,2024-11-22,238027.5,297534.375
VW ID.4 Volkswagen Pro Performance 15077 E1H,49980,6000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1886954721num_on_page1page18premiumfalsesearch_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,372351,465438.75
VW ID.4 Pro Performance 150 kW AHK 360 Matrix,37430,22894,httpswww.12gebrauchtwagen.decpartnercar_ad_id1886091874num_on_page2page18premiumfalsesearch_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,278853.5,348566.875
VW ID.4 Pro Performance,37650,17380,httpswww.12gebrauchtwagen.decpartnercar_ad_id1903438114num_on_page3page18premiumfalsesearch_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,280492.5,350615.625
VW ID.4 1st MAX MATRIX NAVI WÄRMEPUMPE PANO AHK,35590,18501,httpswww.12gebrauchtwagen.decpartnercar_ad_id1885920192num_on_page1page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,265145.5,331431.875
VW ID.4 Pro 77kWhAHKMatrixWärmepumpe08.28Garantie,36880,23890,httpswww.12gebrauchtwagen.decpartnercar_ad_id1888321303num_on_page2page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,274756,343445
VW ID.4 Volkswagen PRO PERFORMANCE MATRIXPANOKAMAHK,39968,8600,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894817904num_on_page3page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,297761.60000000003,372202.00000000006
VW ID.4 Volkswagen GTX Stuttgart Spezial Sportwochen Limitierte Aktion,391000,1,httpswww.12gebrauchtwagen.decpartnercar_ad_id1900248029num_on_page4page18search_id56360955titleVWID.4gebrauchtkaufen,2024-11-22,2912950,3641187.5
VW ID.4 Volkswagen Pro AHKMatrixACCMassageCarPlayHUDLM,40975,30574,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894812874num_on_page4page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,305263.75,381579.6875
VW ID.4 Pro Performance AHK Navi LED ACC Klima SHZ,39870,4490,httpswww.12gebrauchtwagen.decpartnercar_ad_id1870631137num_on_page1page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,297031.5,371289.375
VW ID.4 GTX 77kWhAHKMatrixHuDPano36008.28Garantie,42760,25980,httpswww.12gebrauchtwagen.decpartnercar_ad_id1868817185num_on_page2page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,318562,398202.5
VW ID.4 Pro 210 kW 286 PS 77 kWh 1GangAutomatik,52198,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1815270988num_on_page3page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,388875.10000000003,486093.87500000006
VW ID.4 GTX 4MOTION 77 KWH AUTOMATIK ACCRADARALLR,38100,31700,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907869118num_on_page4page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,283845,354806.25
VW ID.4 Volkswagen Pure 52 kWh CarplayAndroid navi 19Inc,25397,37604,httpswww.12gebrauchtwagen.decpartnercar_ad_id1889631382num_on_page1page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,189207.65,236509.5625
VW ID.4 Pro Move AHKNaviSHZLEDPDC,52218,10,httpswww.12gebrauchtwagen.decpartnercar_ad_id1822211691num_on_page2page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,389024.10000000003,486280.12500000006
VW ID.4 Volkswagen Pro LM20 KAMERA IQ.LIGHT NAVIPRO,36490,28117,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910608136num_on_page3page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,271850.5,339813.125
VW ID.4 Pro GOAL 210 kW 286 PS 77 kWh 1GangAutomatik,56155,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1873027278num_on_page4page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,418354.75,522943.4375
VW ID.4 Pro Performance Navi IQ.Light DAB RearView e213mn,30950,77347,httpswww.12gebrauchtwagen.decpartnercar_ad_id1898856748num_on_page5page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,230577.5,288221.875
VW ID.4 Pure PDC LED Navi AppConnect LaneAssist,24777,25561,httpswww.12gebrauchtwagen.decpartnercar_ad_id1868881760num_on_page1page18search_id56379803titleVWID.4gebrauchtkaufen,2024-11-22,184588.65,230735.8125
VW ID.4 Pro 77kWh GOAL AHK NAVI IQLIGHT DESIGN,57390,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1848679664num_on_page1page19premiumfalsesearch_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,427555.5,534444.375
VW ID.4 Volkswagen Pro Performance 1st MaxMATRIXPANOHUDACC,37880,35000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897538939num_on_page2page19premiumfalsesearch_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,282206,352757.5
"VW ID.4 Volkswagen ProPerformanceJETZT ab 2,74 Zins",38250,6325,httpswww.12gebrauchtwagen.decpartnercar_ad_id1887040937num_on_page3page19premiumfalsesearch_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,284962.5,356203.125
VW ID.4 Pro Performance NAVI AHK PANO LED,40490,24215,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907885036num_on_page1page19search_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,301650.5,377063.125
VW ID.4 Volkswagen Pro Performance Sportpaket AD Navi LED ACC,37880,16868,httpswww.12gebrauchtwagen.decpartnercar_ad_id1902670967num_on_page2page19search_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,282206,352757.5
VW ID.4 Volkswagen Pro Performance,393000,6490,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897197319num_on_page3page19search_id56361016titleVWID.4gebrauchtkaufen,2024-11-22,2927850,3659812.5
VW ID.4 Volkswagen Pro Performance 204PS 77kWh ExtStyleWärmep,31900,53620,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894136337num_on_page4page19search_id56361016titleVWID.4gebrauchtkaufen,2024-11-22,237655,297068.75
VW ID.4 GTX 77kWhAHKMatrixPanoWärmepumpe04.29Garantie,49980,14170,httpswww.12gebrauchtwagen.decpartnercar_ad_id1849846471num_on_page3page19search_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,372351,465438.75
VW ID.4 GTX 4Motion InfotainmentPaketAHK,47750,7500,httpswww.12gebrauchtwagen.decpartnercar_ad_id1841425313num_on_page1page19search_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,355737.5,444671.875
VW ID.4 Pro 210 kW Goal,55975,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1818800833num_on_page2page19search_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,417013.75,521267.1875
VW ID.4 GTX NAVI PANO LED ACC KEYLESS EL.HECK 360,38850,39000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1903256993num_on_page3page19search_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,289432.5,361790.625
VW ID.4 Pro Perform. 77 kWh 150 kW Pro mit Navi 5 Türen,38970,19000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1891079811num_on_page4page19search_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,290326.5,362908.125
VW ID.4 Volkswagen Pro Performance 77 kWh 150 kW Pro 20,34690,21000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897275456num_on_page5page19search_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,258440.5,323050.625
VW ID.4 Pro Performance Tech Pano SHZ Navi MatrixLE,33930,39193,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910138532num_on_page1page19search_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,252778.5,315973.125
VW ID.4 Pro GOAL 77 kWh 1GangAutomatik ACC DynLi,55875,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1901000989num_on_page2page19search_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,416268.75,520335.9375
VW ID.4 Volkswagen 150kW Pro Performance Life KLIMA LED NAVI A,28449,44967,httpswww.12gebrauchtwagen.decpartnercar_ad_id1906812206num_on_page3page19search_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,211945.05000000002,264931.3125
VW ID.4 Volkswagen GTX 4MOTION PANO NAVI LED AHK,499000,9218,httpswww.12gebrauchtwagen.decpartnercar_ad_id1900260616num_on_page4page19search_id56361016titleVWID.4gebrauchtkaufen,2024-11-22,3717550,4646937.5
VW ID.4 Volkswagen PRO LM19 WÄRMEPUMPE NAVIPRO ACC,27880,72944,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908445542num_on_page4page19search_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,207706,259632.5
VW ID.4 Volkswagen Pro MOVE CAM ACC LM19 EKLAPPE NAVI SITZHZ.,49466,9104,httpswww.12gebrauchtwagen.decpartnercar_ad_id1902511677num_on_page1page19search_id56379856titleVWID.4gebrauchtkaufen,2024-11-22,368521.7,460652.125
VW ID.4 Pure 125 kW 170 PS 52 kWh 1GangAutomati,56160,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1704558957num_on_page1page20premiumfalsesearch_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,418392,522990
VW ID.4 Volkswagen Pro Performance CCSAHKKAMERAMATRIXACC,332000,8703,httpswww.12gebrauchtwagen.decpartnercar_ad_id1901252214num_on_page2page20premiumfalsesearch_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,2473400,3091750
VW ID.4 PRO LM20 AHK KAMERA NAVI,37750,17204,httpswww.12gebrauchtwagen.decpartnercar_ad_id1886104377num_on_page3page20premiumfalsesearch_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,281237.5,351546.875
VW ID.4 Pro 21077 E1H Pro 210 kW Goal,56973,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1843366263num_on_page1page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,424448.85000000003,530561.0625
VW ID.4 Pure GOAL 125 kW 170 PS 52 kWh,46708,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1813389986num_on_page2page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,347974.60000000003,434968.25000000006
VW ID.4 PRO PERFORMANCE LEDKAMERAPANOAHKDCCAPP,40869,12600,httpswww.12gebrauchtwagen.decpartnercar_ad_id1890967323num_on_page3page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,304474.05,380592.5625
VW ID.4 Volkswagen GTX Navi AHK Panoramadach Sitzheizung Leich,46749,21451,httpswww.12gebrauchtwagen.decpartnercar_ad_id1902383271num_on_page4page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,348280.05,435350.0625
VW ID.4 PRO PERFORMANCE PANOAHKARHUDKAMWÄRMEPU,44629,15400,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907800804num_on_page5page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,332486.05,415607.5625
VW ID.4 GTX 4M 79 kWhInfotainmentp.AHKIQ.DRIVEWÄRMEP.,72085,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1815316698num_on_page1page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,537033.25,671291.5625
VW ID.4 Volkswagen Pro,395000,15518,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897197297num_on_page2page20search_id56361080titleVWID.4gebrauchtkaufen,2024-11-22,2942750,3678437.5
VW ID.4 Volkswagen Pro 210 kW 286 PS 77 kWh SOFORT VERFÜGBAR,603000,1,httpswww.12gebrauchtwagen.decpartnercar_ad_id1844908386num_on_page3page20search_id56361080titleVWID.4gebrauchtkaufen,2024-11-22,4492350,5615437.5
VW ID.4 Pro Performance AHK Navi LED ACC Klima SHZ,38760,13230,httpswww.12gebrauchtwagen.decpartnercar_ad_id1868895167num_on_page2page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,288762,360952.5
VW ID.4 Volkswagen 1st Pro Performance 77 kWh 1st,22500,116500,httpswww.12gebrauchtwagen.decpartnercar_ad_id1902252405num_on_page3page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,167625,209531.25
VW ID.4 Volkswagen GTX AWD 299HP TBAR MATRIXLED EHEAT VAT,42093,19010,httpswww.12gebrauchtwagen.decpartnercar_ad_id1889587984num_on_page1page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,313592.85000000003,391991.06250000006
"VW ID.4 ProPerformanceJETZT ab 2,74 Zins",38250,6325,httpswww.12gebrauchtwagen.decpartnercar_ad_id1869034846num_on_page2page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,284962.5,356203.125
VW ID.4 Volkswagen 77KWH PRO PERFORMANCE WARMTEPOMP CAME,39899,4000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1902304317num_on_page3page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,297247.55,371559.4375
VW ID.4 Goal AHK Navi LED Kamera PDC LM Tempo,56770,15,httpswww.12gebrauchtwagen.decpartnercar_ad_id1704628070num_on_page4page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,422936.5,528670.625
VW ID.4 Volkswagen 150 kW Pro Performance 82kWhIQACCHEADUP,39590,16100,httpswww.12gebrauchtwagen.decpartnercar_ad_id1864207132num_on_page5page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,294945.5,368681.875
VW ID.4 Pure Navi LED CCS App Connect Klimaauto.,25990,32000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1905519736num_on_page1page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,193625.5,242031.875
VW ID.4 Pro 1st Edition ACC Kamera LED NAVI Klima,39950,22350,httpswww.12gebrauchtwagen.decpartnercar_ad_id1888426542num_on_page2page20search_id56379916titleVWID.4gebrauchtkaufen,2024-11-22,297627.5,372034.375
VW ID.4 Pro Performance Life AHKNaviLEDACCKamera,33770,74500,httpswww.12gebrauchtwagen.decpartnercar_ad_id1704547357num_on_page1page21premiumfalsesearch_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,251586.5,314483.125
VW ID.4 Pro Performance AHK Navi LED ACC Klima SHZ,38760,13360,httpswww.12gebrauchtwagen.decpartnercar_ad_id1868998949num_on_page2page21premiumfalsesearch_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,288762,360952.5
"VW ID.4 Volkswagen Pro S 4Motion, Panorama SH ACC Parkpilot",36900,22480,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897546329num_on_page3page21premiumfalsesearch_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,274905,343631.25
VW ID.4 Pro Performance AHK Navi Pano CarPlay 360,42880,4588,httpswww.12gebrauchtwagen.decpartnercar_ad_id1813513373num_on_page1page21search_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,319456,399320
VW ID.4 Pro Performance 77kWh Gar.07.2028 AHKIQLIGHTRFAHRKAMERA,36880,55429,httpswww.12gebrauchtwagen.decpartnercar_ad_id1901023011num_on_page2page21search_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,274756,343445
VW ID.4 Volkswagen Pure Performance 170PS CCS LED AHK,22900,31940,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894432114num_on_page3page21search_id56361151titleVWID.4gebrauchtkaufen,2024-11-22,170605,213256.25
VW ID.4 GTX 4x4 PDACH NAVI 9x21 MATRIXLED,35770,20000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1903342765num_on_page3page21search_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,266486.5,333108.125
VW ID.4 Pro Performance NAVI LED ACC PDC SPURH SHZ,29450,29948,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894949220num_on_page4page21search_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,219402.5,274253.125
VW ID.4 Volkswagen PURE LM19 WÄRMEPUMPE NAVIPRO SITZHZ,24550,56418,httpswww.12gebrauchtwagen.decpartnercar_ad_id1901502273num_on_page1page21search_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,182897.5,228621.875
VW ID.4 Pro 77 kWh Move AHK LED Navi RFK,51503,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1901033181num_on_page2page21search_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,383697.35000000003,479621.68750000006
VW ID.4 GTX 4Motion Wärmepumpe Allrad AD Navi Soundsystem Klimaautom SD Keyless Verkehrszeichenerk.,43750,16000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1704753868num_on_page3page21search_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,325937.5,407421.875
VW ID.4 GTX AHKMatrixPano360Wärmepumpe05.29Garantie,53480,1720,httpswww.12gebrauchtwagen.decpartnercar_ad_id1890837527num_on_page4page21search_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,398426,498032.5
VW ID.4 Volkswagen 4 Motion GTX AHK PANO KAMERA WÄRMEP,44950,21790,httpswww.12gebrauchtwagen.decpartnercar_ad_id1901683590num_on_page5page21search_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,334877.5,418596.875
VW ID.4 Pro Performance AHK Navi LED ACC SHZ,38760,29090,httpswww.12gebrauchtwagen.decpartnercar_ad_id1830626325num_on_page1page21search_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,288762,360952.5
VW ID.4 Pure Performance 52 kWh Navi LED Climatronic,27900,19000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1826720019num_on_page2page21search_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,207855,259818.75
VW ID.4 Volkswagen Family DSG AHKKEYLESSPANO,32990,49818,httpswww.12gebrauchtwagen.decpartnercar_ad_id1897265995num_on_page3page21search_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,245775.5,307219.375
VW ID.4 Pro GOAL 286 PS 77 kWh 1GangAutomatik AHK,53823,10,httpswww.12gebrauchtwagen.decpartnercar_ad_id1888406751num_on_page4page21search_id56379977titleVWID.4gebrauchtkaufen,2024-11-22,400981.35000000003,501226.68750000006
VW ID.4 Volkswagen Pro Performance150 kW Life 77kWhWärmepumpe,27999,45000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1903710533num_on_page1page22premiumfalsesearch_id56380018titleVWID.4gebrauchtkaufen,2024-11-22,208592.55000000002,260740.68750000003
VW ID.4 Volkswagen GTX 4MOTIONPANOAHKRFKNAVAPPPARKASSIST,701000,17000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1844935834num_on_page2page22premiumfalsesearch_id56380018titleVWID.4gebrauchtkaufen,2024-11-22,5222450,6528062.5
VW ID.4 PURE PERFORMANCE NAVI AHK LED,25180,64409,httpswww.12gebrauchtwagen.decpartnercar_ad_id1898879026num_on_page3page22premiumfalsesearch_id56380018titleVWID.4gebrauchtkaufen,2024-11-22,187591,234488.75
VW ID.4 Volkswagen GTX 4Motion,42220,23300,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894208148num_on_page1page22search_id56380018titleVWID.4gebrauchtkaufen,2024-11-22,314539,393173.75
VW ID.4 Volkswagen Pro Performance 204PS 77kWh Sport21Komfort,39900,11540,httpswww.12gebrauchtwagen.decpartnercar_ad_id1894141659num_on_page2page22search_id56380018titleVWID.4gebrauchtkaufen,2024-11-22,297255,371568.75
VW ID.4 GTX 4Motion Wärmepumpe Pano ACC DCC IQ.Light,35977,28445,httpswww.12gebrauchtwagen.decpartnercar_ad_id1890821624num_on_page3page22search_id56380018titleVWID.4gebrauchtkaufen,2024-11-22,268028.65,335035.8125
VW ID.4 Pure GOAL,46708,1,httpswww.12gebrauchtwagen.decpartnercar_ad_id1868929809num_on_page4page22search_id56380018titleVWID.4gebrauchtkaufen,2024-11-22,347974.60000000003,434968.25000000006
VW ID.4 Volkswagen Pro GOAL h Klima Navi Rückfahrkamera,777000,1,httpswww.12gebrauchtwagen.decpartnercar_ad_id1861602735num_on_page5page22search_id56361209titleVWID.4gebrauchtkaufen,2024-11-22,5788650,7235812.5
VW ID.4 Pro Performance 77 kWh,38950,10800,httpswww.12gebrauchtwagen.decpartnercar_ad_id1901093616num_on_page1page22search_id56380018titleVWID.4gebrauchtkaufen,2024-11-22,290177.5,362721.875
VW ID.4 Volkswagen Pro GOAL 210 kW 286 PS 77 kWh 1GangAutomatik ️sofort verfügbar️,511000,1,httpswww.12gebrauchtwagen.decpartnercar_ad_id1870381748num_on_page2page22search_id56361209titleVWID.4gebrauchtkaufen,2024-11-22,3806950,4758687.5
VW ID.4 GTX AHK Matrix Panorama Head UP Sthz ACC Navi,58888,9000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1811712197num_on_page2page22search_id56380018titleVWID.4gebrauchtkaufen,2024-11-22,438715.60000000003,548394.5
