Pris,Model,Detaljer,Beskrivelse,Lokation,ForhandlerID,Forhandler_navn,Forhandler_adresse,Forhandler_CVR,Link_til_bil
239.700 kr.,VW ID.4Pro Performance 5d,"8/2021, 29.000 km, 517 km rækkevidde, El","VELHOLDT ID.4 PRO PERFORMANCE TIL OMGÅNEDE LEVERING!

- Rækkevidde på 517 km WLTP
- 8 års garanti på batteri

- 20'' ORIGINALE VW ALUFÆLGE
- ELEKTRISK KABINEVARMER
- VOGNBANEASSISTENT
- PARKERINGSSENSOR I FOR-& BAG
- MULTIFUNKTIONSRAT
- FULDAUTOMATISK KLIMA
- EL KLAPBARE SIDESPEJLE M. VARME
- ELEKTRISK PARKERINGSBREMSE
- APPLE CARPLAY/ANDROID AUTO
- NAVIGATION
- SKILTEGENKENDELSE
- TRÆTHEDSREGISTRERING
- DIGITAL COCKPIT
- AMBIENT LIGHT
- SORT LOFTHIMMEL
- VW DRIVE SELECT

Aut., 20"" alufælge, fuldaut. klima, elektrisk kabinevarmer, fjernb. c.lås, nøglefri betjening, kørecomputer, infocenter, startspærre, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, højdejust. førersæde, 4x el-ruder, el-klapbare sidespejle m. varme, parkeringssensor (bag), parkeringssensor (for), dæktryksmåler, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, android auto, apple carplay, usbc tilslutning, armlæn, isofix, bagagerumsdækken, kopholder, stofindtræk, splitbagsæde, automatisk lys, led kørelys, fuld led forlygter, airbag, abs, esp, servo, vognbaneassistent, tagræling, ikke ryger, service ok, brugtbilsattest, ambiente belysning.

For kontakt sales@autopunkt.dk eller 32169747. WWW.AUTOPUNKT.DK","Herning, Vestjylland",id8644,Detaljer,"Tjelevej 24, 7400 Herning",CVR-nr.: 29813841,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6320108
239.700 kr.,VW ID.4Pro Performance 5d,"8/2021, 29.000 km, 517 km rækkevidde, El","VELHOLDT ID.4 PRO PERFORMANCE TIL OMGÅNEDE LEVERING!

- Rækkevidde på 517 km WLTP
- 8 års garanti på batteri

- 20'' ORIGINALE VW ALUFÆLGE
- ELEKTRISK KABINEVARMER
- VOGNBANEASSISTENT
- PARKERINGSSENSOR I FOR-& BAG
- MULTIFUNKTIONSRAT
- FULDAUTOMATISK KLIMA
- EL KLAPBARE SIDESPEJLE M. VARME
- ELEKTRISK PARKERINGSBREMSE
- APPLE CARPLAY/ANDROID AUTO
- NAVIGATION
- SKILTEGENKENDELSE
- TRÆTHEDSREGISTRERING
- DIGITAL COCKPIT
- AMBIENT LIGHT
- SORT LOFTHIMMEL
- VW DRIVE SELECT

Aut., 20"" alufælge, fuldaut. klima, elektrisk kabinevarmer, fjernb. c.lås, nøglefri betjening, kørecomputer, infocenter, startspærre, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, højdejust. førersæde, 4x el-ruder, el-klapbare sidespejle m. varme, parkeringssensor (bag), parkeringssensor (for), dæktryksmåler, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, android auto, apple carplay, usbc tilslutning, armlæn, isofix, bagagerumsdækken, kopholder, stofindtræk, splitbagsæde, automatisk lys, led kørelys, fuld led forlygter, airbag, abs, esp, servo, vognbaneassistent, tagræling, ikke ryger, service ok, brugtbilsattest, ambiente belysning.

For kontakt sales@autopunkt.dk eller 32169747. WWW.AUTOPUNKT.DK","Herning, Vestjylland",id8644,Detaljer,"Tjelevej 24, 7400 Herning",CVR-nr.: 29813841,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6320108
324.900 kr.,VW ID.4GTX 4Motion 5d,"9/2022, 37.000 km, 479 km rækkevidde, El","🔴 ID.4 GTX 4Motion i en fed ""Kings Red"" metallakering 🔴
Fabriksgaranti er udløbet på bilen - forlæng med 3 år for blot 9.995,-

OBS!!! Bilen har svingbart angængertræk, som kan trække op til 1.400kg!

🔴Elbilsspecifikationer 🔴
➾ 77 kWh batteri.
➾ 490 km WLTP rækkevidde.
➾ 299 hestekræfter. 
➾11 kW AC opladning.
➾ 125 kW DC opladning. (10-80% = 30 min.)

🔴 Udstyr i hovedtræk 🔴
➾ Matrix LED forlygter.
➾ Glastag
➾ Adaptiv fartpilot.
➾ 360-Kamera
➾ Head Up Diaplay
➾ Elektrisk bagklap.
➾ Nøglefri betjening.
➾ Varme i forsædersæder & rat
➾ Panoramasoltag,
➾ Varmepumpe,
➾ og meget, meget mere.
OBS! Importbil, udstyr kan afvige fra dansk standard. 

📞 Kontakt os for et attraktivt tilbud på finansiering og forsikring. 
🚗 Vi tager din brugte bil i bytte.
✍️ Vi tilbyder at tegne udvidet garanti via Fragus.  
👉 https://www.nellemann.dk/👈. 

db. airbags, 20"" Alufælge, varme i rat, headup display, nøglefri betjening, LED kørelys, navigation, airbag, tonede ruder, splitbagsæde, højdejust. førersæde, automatisk parkerings system, fartpilot, kopholder, sædevarme, parkeringssensor (bag), håndfrit til mobil, lygtevasker, fjernb. c.lås, skiltegenkendelse, DAB radio, Apple CarPlay, Android Auto, airc., el-ruder, 4x el-ruder, fuldaut. klima, startspærre, 2 zone klima, c.lås, aut., kørecomputer, multifunktionsrat, servo, læderrat, tagræling, svingbart træk (manuel), mørktonede ruder i bag, armlæn, auto. nedbl. Bakspejl, el-klapbare sidespejle m. varme, parkeringssensor, dæktryksmåler, parkeringssensor (for), 360° kamera, stofindtræk, træthedsregistrering, alarm, infocenter, højdejust. forsæde, glastag, el-spejle, elektrisk parkeringsbremse, adaptiv fartpilot, isofix, bagagerumsdækken, bluetooth, musikstreaming via bluetooth, fuld LED forlygter, digitalt cockpit","Roskilde, Syd- og Vestsjælland",id12828,Detaljer,"Betonvej 1, 4000 Roskilde",CVR-nr.: 18036800,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6334428
364.500 kr.,VW ID.4Pro Performance 5d,"5/2023, 28.000 km, 531 km rækkevidde, El","HOS BREDEBRO AUTOMOBILER HAR VI FÅET DENNE LÆKRE VOLKSWAGEN ID.4 PRO PERFORMANCE PÅ LAGER.

FARVEN ER GRENADILLSCHWARZ METALLIC MED INDTRÆK I ANTRAZIT DELLÆDER/ALCANTARA👌

DENNE BIL HAR UDVIDET FABRIKSGARANTI:

5 ÅR / 100.000 KM UDVIDET TEKNISK / MEKANISK GARANTI FRA 1. REG DATO

8 ÅR / 160.000 KM BATTERI GARANTI FRA 1. REG DATO

BILEN ER LEVERET MED DEN HELT STORE UDSTYRSPAKKE:

✅ ANHÆNGERTRÆK SVINGBART SEMI ELEKTRISK
✅ PANORAMA GLASTAG
✅ HEAD-UP DISPLAY 
✅ ELEKTRISK INDSTILLIGE ergoActive FORSÆDER MED MEMORY OG MASSAGE
✅ ALCANTARA/DELLÆDER INDTRÆK
✅ ELEKTRISK BAGKLAP MED VIRTUEL PEDAL
✅ MATRIX BEAM  IQ LIGHT LED FORLYGTER MED DYNAMISK KURVE- OG FJERNLYS
✅ 21"" ALUFÆLGE
✅ KEYLESS - NØGLEFRI BETJENING AF DØRE OG START
✅ VARME I RAT OG FORSÆDER
✅ VARMEPUMPE
✅ 3D LED BAGLYGTER MED DYNAMISK BLINKLYS
✅ NAVIGATION DISCOVER PRO MED VEJSKILTEGENKENDLESE
✅ BAKKAMERA - SAMT PARKERINGSSENSORER FOR+BAG
✅ ADAPTIV FARTPILOT MED NØDBREMSEFUNKTION OG FOLLOW TO STOP
✅ TRÅDLØS OPLADNING AF MOBIL
✅ TRÅDLØS APP-CONNECT OG ANDROID AUTO
✅ 3 ZONE KLIMAANLÆG
✅ OG MEGET ANDET

aut., 21"" alufælge, varme i rat, airc., 3 zone klima, elektrisk kabinevarmer, motorkabinevarmer, alarm, fjernb. c.lås, nøglefri betjening, fartpilot, kørecomputer, infocenter, varme i forrude, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, sædevarme, højdejust. forsæder, el indst. forsæder, el indst. førersæde m. memory, glastag, 4x el-ruder, el-klapbare sidespejle m. varme, 360° kamera, bakkamera, parkeringssensor (bag), parkeringssensor (for), adaptiv fartpilot, el betjent bagklap, dæktryksmåler, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab+ radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, headup display, android auto, apple carplay, trådløs mobilopladning, usb tilslutning, armlæn, isofix, kopholder, dellæder, splitbagsæde, læderrat, el komfortsæder, sportssæder, automatisk lys, fjernlysassistent, kurvelys, led kørelys, fuld led forlygter, airbag, esp, antispin, vognbaneassistent, blindvinkelsassistent, automatisk nødbremsesystem, tagræling, mørktonede ruder i bag, 1 ejer, træk, svingbart træk (manuel)","Bredebro, Syd- og Sønderjylland",id13242,Detaljer,"Birkevej 1, 6261 Bredebro",CVR-nr.: 40907920,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6303674
219.900 kr.,VW ID.4Pro Performance Tech 5d,"8/2021, 116.000 km, 507 km rækkevidde, El","Velkommen hos GT Biler A/S - Autoriseret VW service værksted Kolding

Dansk bil fra ny. Bilen har tidligere kørt på serviceaftale hos VW.

BEMÆRK: Bilen er på vej ind - Forventes klar til levering medio december måned. Kontakt os for mere information.
_________________

𝗛𝗜𝗚𝗛𝗟𝗜𝗚𝗛𝗧𝗦:

✅ Svingbart anhængertræk
✅ Panorama glastag
✅ Varmepumpe
✅ 19"" alufælge m. sommerdæk
✅ Apple Carplay & Android Auto
✅ Elektrisk førersæde m. massage og memory
✅ Skilte genkendelse
✅ Blindvinkel sensor
✅ El-klapbare sidespejle m. varme
✅ Vognbaneassistent 
✅ Regn- og lyssensor
✅ Parkeringsensor for og bag samt bakkamera
✅ Varme i forsæder og rat
✅ Smartkey (Nøglefri adgang & start)
✅ Elektrisk bagklap
✅ IQ LED forlygter (Matrix lys) 
✅ Adaptiv fartpilot med stop & go
✅ Tonede ruder i bag
✅ Indtræk: Sort-Florence Brun

_________________

Attraktiv finansiering og forsikring tilbydes.

Mulighed for tilkøb af undervognsbehandling, beskyttelsesfolie, vinterhjul mm.
___________________

Få gratis rådgivning omkring opladning og valg af lade løsning hos Hyundai i Kolding. Vi samarbejder bl.a. med Clever, Looad og OK.

Lade hastighed:
AC Ladning 11 kW
DC Ladning 350 kW (10-80 %) = 18 min.
___________________

𝗚𝗧 𝗕𝗶𝗹𝗲𝗿 𝗔/𝗦
📱 75 50 75 99
💻www.gtbiler.dk
📧 salg@gtbiler.dk
📍 Ambolten 7 - 6000 Kolding
🕒 Åbningstider:
Mandag-fredag: 09:00-17.30
Søndag: 11.00-15.00. 

service ok, skiltegenkendelse, el betjent bagklap, lane assist, blindvinkelsassistent, automatisk nødbremsesystem, Apple CarPlay, Android Auto, airc., 4x el-ruder, isofix, navigation, 2 zone klima, el-spejle m/varme, automatisk parkerings system, bakkamera, håndfrit til mobil, multifunktionsrat, parkeringssensor (bag), regnsensor, sædevarme, udv. temp. måler, dellæder, kopholder, læderrat, splitbagsæde, tagræling, tonede ruder, 19"" Alufælge, LED kørelys, mørktonede ruder i bag, armlæn, varme i rat, fjernlysassistent, adaptiv fartpilot, headup display, nøglefri betjening, parkeringssensor, automatisk lys, bluetooth, ikke ryger, parkeringssensor (for), DAB+ radio, digitalt cockpit, trådløs mobilopladning, bagagerumsdækken, el indst. førersæde m. memory, fuld LED forlygter, infocenter, musikstreaming via bluetooth, svingbart træk (elektrisk), træthedsregistrering, auto. nedbl. Bakspejl, aut.","Kolding, Syd- og Sønderjylland",id2260,Detaljer,"Ambolten 7, 6000 Kolding",CVR-nr.: 29627258,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-tech-5d/6372483
324.900 kr.,VW ID.4GTX 4Motion 5d,"2/2022, 36.000 km, 479 km rækkevidde, El","KUN 2,99% I RENTE!

Køb denne bil i dag og få en vanvittig rente på KUN 2,99%, når du finansierer gennem Kvalitetsbiler.dk!

*Gælder kun alle nyere el- og hybridbiler (op til 5 år)
**Gælder kun ved finansiering gennem Kvalitetsbiler.dk
***Gælder kun ved udbetaling på minimum 20%
****Første betaling efter månedens udløb plus én måned

________________________________________________________

Vi anbefaler, at du booker en prøvekørsel for at undgå ventetid. 
Bestillinger foregår via vores hjemmeside www.kvalitetsbiler.dk eller på Booking@kvalitetsbiler.dk / 75801011.
Vi glæder os til at se dig!

Fremhævet udstyr på bilen: 
✨ (Muligt tilkøbsudstyr: Anhængertræk)  
✨ Varmepumpe inkl. thermostyring af batteriet
✨ Glacier White Metallic (farve) 
✨ Head-up display
✨ Panorama glastag med elektrisk soltag 
✨ Elektrisk bagklap med virtuel pedal komfortåbning og 'easy close'
✨ Adaptiv undervognsregulering med kontinuerlig betjening
✨ Adaptiv fartpilot
✨ Navigation inkl. medie- og internetpakke
✨ 360° kamera
✨ Bakkamera
✨ Parkeringssensor for/bag
✨ Lane Assist
✨ Side Assist 
✨ Front Assist (Undvigeassistent/drejeassistent)
✨ Emergency Assist og køassistent
✨ Udvidet sikkerhedssystem (PreCrash basic og front)
✨ Vejskiltegenkendelse
✨ Træthedsregistrering
✨ Driving Mode Selection
✨ IQ.Light Matrix-Beam LED forlygter med dynamisk kurvelys og Light Assist
✨ IQ.Light LED baglygter med animerede lysfunktioner
✨ Fjernlysassistent
✨ 20"" Alufælge
✨ Nøglefrit låse- og startsystem ""Keyless Advanced"" med safefunktion
✨ Lædermultifunktionsrat med varme 
✨ Elektrisk sædeindstilling til begge forsæder, med memory og sædedybdeindstilling
✨ Lændestøtte med pneumatisk indstilling i begge sider
✨ Klimakomfortrude
✨ Digital instrumentering
✨ Stemmestyring
✨ Android Auto, Apple Carplat og MirrorLink
✨ Trådløs mobilopladning
✨ Ambientebelysning udvendigt, lysende styling-element(er) i siden og forrest
✨ Fortovsbelysning fra sidespejle
✨ El-foldbare spejle m. varme
✨ Designpakke Plus
✨ Interiørpakke Top-Sport Plus
✨ Sportspakke Plus
✨ Assistentpakke Plus
✨ Komfortpakke Plus
✨ Multimediapakke Plus
✨ Parkeringsklima-funktion
✨ Klimaanlæg med 3 zoner
✨ Bluetooth
✨ Og meget mere…

Man-fre: 09.00-17.00
Lør: 10.00-16.00
Søn/helligdage: 10.00-16.00

Importbil - udstyr kan variere fra dansk model.
Vi tager forbehold for tryk- og tastefejl.

Bil id: 139171","Tørring, Syd- og Sønderjylland",id2344,Detaljer,"Torvegade 155a, 7160 Tørring",CVR-nr.: 16231991,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6372488
319.900 kr.,VW ID.4Pro Performance 5d,"6/2023, 1.900 km, 531 km rækkevidde, El","Med over 40 års erfaring i køb og salg af alle slags biler, står vi klar til at hjælpe dig med lige netop dit behov i forbindelse med dit næste bilkøb.

Hos Autohuset Vestergaard får du altid:
🚚 Serviceaftaler til alle brugte biler. Priser starter fra kun 130,- pr. måned! 💰
💳 Attraktive finansieringsmuligheder med og uden betaling! 🏦💲
💼Konkurrencedygtige forsikringer
🔄 Vi tager alle biler i bytte! ♻️
💳 Mulighed for udvidet garanti

🏁Klik ind på Autohuset Vestergaard.dk og Tryk på ""Kom igang"" for at se alle dine muligheder! Husk at du har 14 dages returret og gratis hjemmelevering ved onlinekøb! 🚀✨

Elektrisk info:
🔋 Elektrisk Rækkevidde jf. WLTP: 517 km.
🔋 Opladningstid 10-80 % via DC-hurtigladning: 28 min.
🔋 Opladningstid 0-100 % via AC-opladning: 8 timer 15 minutter
🔋 Batterikapacitet: 77 kWh

Highlight af udstyr:
⭐ Adaptiv Fartpilot,
⭐ LED for/baglygter
⭐ Appel Carplay/ Android Auto
⭐ Nøglefri betjening
⭐ sædevarme for
⭐ Digital instrumentering
⭐ Afstandsradar, Automatisk nødbremsesystem, Automatisk nødopkald, Skiltegenkendelse, Træthedsregistrering, Vejbaneassistent

Privatleasing af VW ID.4 Pro Performance

36 mdr. og 15.000 km årligt. inkl. service og reprationsaftale 

Førstegangsydelse: 20.000 kr.
Din leasingydelse: 5.395 kr./md
Samlet omkostninger: 214.220 kr.

Merpris ved helårsdæk,  449 kr./md
Merpris for kaskoforsikring, 495 kr./md (Selvrisiko: 6.000 kr.)

Merpris ved 20.000 km/år, 200 kr./md
Merpris ved 25.000 km/år, 600 kr./md
Merpris ved 30.000 km/år, 1.000 kr./md

Forsikring forudsætter alder over 26 år, for fører under 26 er selvrisiko dobbelt.
Grøn ejerafgift opkræves af leasingselskab, som går efter SKATs takster. Leasingydelsen er ekskl. grøn ejerafgift.

Når du køber eller privatleaser en brugt bil ved Autohuset Vestergaard får du installation af ladeboksen helt gratis. Så vågner du altid op med et fuldt ladet batteri! 
Med Clever får du opladning, når det passer dig – derhjemme, på arbejdet, på indkøbsturen eller på Danmarks største ladenetværk.

Clever One m. ladeboks*
Abonnementspris: 799 kr./md + evt. energitillæg
Installation af ladeboks hjemme: 0 kr. (værdi 2.499 kr.) 
*Tilbuddet gælder frem til d. 30.11.2024. Ekstraomk. kan forekomme fx ved grave-eller stilladsarbejde. Læs mere på clever.dk/installation. Tilbuddene kan ikke kombineres med hinanden eller andre tilbud. Ladeløsningen udbydes af Clever A/S. 14 dages fortrydelsesret. Forudsætter BS betaling. Læs mere: clever.dk/vilkaar. Mindstepris i bindingsperiode (6 mdr.): 4794 kr. Installation: clever.dk/installationKrav til installation ved udskiftning: clever.dk/udskift-ladeboksEvt. energitillæg: Hvis indkøbsprisen på el overstiger 0,89 kr./kWh, pålægges et variabelt energitillæg den pågældende måned. Læs mere på clever.dk/energitillaeg. Tilbagebetaling: Fastsættes ud fra den gennemsnitlige strømpris mellem kl. 23-06 i måneden. Læs mere på clever.dk/tilbagebetaling.

1 ejer, db. airbags, motorkabinevarmer, AUX tilslutning, stofindtræk, Apple CarPlay, Android Auto, træthedsregistrering, håndfrit til mobil, DAB radio, lane assist, automatisk nødbremsesystem, lev. nysynet, 4x el-ruder, isofix, navigation, 2 zone klima, el-klapbare sidespejle, aut., bakkamera, multifunktionsrat, regnsensor, sædevarme, udv. temp. måler, højdejust. førersæde, kopholder, læderrat, splitbagsæde, 20"" Alufælge, armlæn, adaptiv fartpilot, nøglefri betjening, parkeringssensor, dæktryksmåler, digitalt cockpit, musikstreaming via bluetooth","Nærum, København",id519,Detaljer,"Nærum Hovedgade 1, 2850 Nærum",CVR-nr.: 18930579,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6333976
249.900 kr.,VW ID.4Pro Performance 1ST Max 5d,"7/2021, 92.000 km, 490 km rækkevidde, El","Volkswagen yder 8 år eller 160.000 km garanti på batteriet

Batteri & Lade Specifikationer:

Motor: EL 77kWh / 82 kWh [Netto/brutto]
Forbrug: 16, 7 kWh/100km
Rækkevidde: 514 km WLTP
Opladning: 10-80% på 29m [Offentlig ladning 135kW]
hjemmeladning på 7t og 30m [3-faset AC 11kW 0-100%]

Landsdækkende GOSafe complete tilbydes til denne bil:

✅ 12 mdr. kr. 7.500 -
✅ 24 mdr. kr. 9.400 -
✅ 36 mdr. kr. 12.500 -
✅ 48 mdr. kr. 15.625 -

Highlights:

-21"" alufælge
-Varmepumpe
-Svingbart træk (manuelt)
-Panorama glastag
-360g. bakkamera m. parkeringssensor
-IQ LED forlygter m. fjernlysassistent
-IQ LED baglygter m. dynamisk blink
-El sportssæder m. massage & memory funktion
-Adaptiv fartpilot m. travel assist
-Lane assist
-Side assist
-Front assist
-Headup display
-Android auto/Apple carplay
-Park.klima
-Ambiente belysning
-Sort himmel

Varmepumpe, CCS/hurtigopladning, SOS-funktion, LED kabinebelysning, ambiente belysning, Park.klima, travel assist, sort himmel, IQ lights, aut., 21"" alufælge, varme i rat, fuldaut. klima, 2 zone klima, 3 zone klima, elektrisk kabinevarmer, c.lås, fjernb. c.lås, nøglefri betjening, fartpilot, kørecomputer, infocenter, startspærre, varme i forrude, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, sædevarme, højdejust. forsæder, el indst. forsæder, el indst. førersæde m. memory, glastag, 4x el-ruder, el-klapbare sidespejle m. varme, 360° kamera, bakkamera, parkeringssensor (bag), parkeringssensor (for), adaptiv fartpilot, el betjent bagklap, dæktryksmåler, adaptiv undervogn, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, headup display, android auto, apple carplay, trådløs mobilopladning, usb tilslutning, armlæn, isofix, bagagerumsdækken, kopholder, dellæder, splitbagsæde, læderrat, el komfortsæder, sportssæder, automatisk lys, fjernlysassistent, kurvelys, led kørelys, fuld led forlygter, 6 airbags, abs, antispin, esp, servo, vognbaneassistent, blindvinkelsassistent, automatisk nødbremsesystem, tagræling, mørktonede ruder i bag, ikke ryger, lev. nysynet, service ok, svingbart træk (manuel)

-Bilen leveres nysynet
-Vi kan udlevere nummerplader alle ugens dage.
-Vi tilbyder finansiering – MED OG UDEN UDBETALING – via Santander og AL Finans.
-Vi tager gerne din nuværende bil i bytte.
-Leveringsomkostninger: inkluderet","Silkeborg, Østjylland",id10497,Detaljer,"Holmbladsvej 9, 8600 Silkeborg",CVR-nr.: 34716242,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6372385
209.900 kr.,VW ID.4Pro Performance 5d,"12/2021, 80.000 km, 517 km rækkevidde, El","KUN 2,99% I RENTE!

Køb denne bil i dag og få en vanvittig rente på KUN 2,99%, når du finansierer gennem Kvalitetsbiler.dk!

*Gælder kun alle nyere el- og hybridbiler (op til 5 år)
**Gælder kun ved finansiering gennem Kvalitetsbiler.dk
***Gælder kun ved udbetaling på minimum 20%
****Første betaling efter månedens udløb plus én måned

________________________________________________________

Vi anbefaler, at du booker en prøvekørsel for at undgå ventetid. 
Bestillinger foregår via vores hjemmeside www.kvalitetsbiler.dk eller på Booking@kvalitetsbiler.dk / 75801011.
Vi glæder os til at se dig!

Fremhævet udstyr på bilen:
✨ Svingbart anhængertræk (1.000 kg)
✨ Moonstone Grey (farve)  
✨ Navigation inkl. medie- og internetpakke
✨ Parkeringssensor for/bag
✨ Lane Assist
✨ Front Assist (Undvigeassistent/drejeassistent)
✨ Vejskiltegenkendelse
✨ Træthedsregistrering
✨ Driving Mode Selection 
✨ LED forlygter
✨ LED baglygter
✨ Keyless Go
✨ Multifunktionsrat
✨ Digital instrumentering
✨ Stemmestyring
✨ Android Auto, Apple Carplay og MirrorLink
✨ Trådløs mobilopladning
✨ Ambientebelysning 
✨ Fortovsbelysning fra sidespejle
✨ Parkeringsklima-funktion
✨ Klimaanlæg 
✨ Bluetooth
✨ Og meget mere…

Man-fre: 09.00-17.00
Lør: 10.00-16.00
Søn/helligdage: 10.00-16.00

Importbil - udstyr kan variere fra dansk model.
Vi tager forbehold for tryk- og tastefejl.

Bil id: 139019","Tørring, Syd- og Sønderjylland",id2344,Detaljer,"Torvegade 155a, 7160 Tørring",CVR-nr.: 16231991,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6372300
284.900 kr.,VW ID.4Pro Performance 5d,"6/2022, 30.000 km, 484 km rækkevidde, El","Den populære ID.4 med svingbart anhængertræk, Matrix LED forlygter, panorama soltag og interiørpakke

Rækkevidde 484 km. (WLTP)

Landsdækkende Fragus GO SAFE Extented garanti tilbydes til denne bil:
✅ 12 mdr. kr. 3.495, -
✅ 24 mdr. kr. 7.495, -
✅ 36 mdr. kr. 9.995, -

Adaptiv Fartpilot kan tilkøbes i Volkswagen-Connect-Shoppen til 2.990 kr. 

-19"" alufælge med helårsdæk
-Svingbart anhængertræk
-Panorama soltag
-Matrix LED forlygter
-Interiørpakke style 
-Vognbane assistent
-Lyddæmpende for- og sideruder inkl. tonede ruder bag
-Bakkamera
-Nøglefri betjening
-Varme i forruden
-Multifunktionsrat med varme
-Ambientebelysning
-Tyverialarm
-Designpakke Plus
-Komfortpakke Plus
-Sportspakke
-Eksteriørpakke Silver
-Multimediapakke
-Trådløs opladning af telefon
-App-Connect m/Apple Carplay
-Navigation discover pro, alu.
 
19"" alufælge, varme i rat, airc., fuldaut. klima, 3 zone klima, elektrisk kabinevarmer, alarm, c.lås, fjernb. c.lås, nøglefri betjening, kørecomputer, infocenter, varme i forrude, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, sædevarme, højdejust. forsæder, glastag, el-ruder, 4x el-ruder, el-klapbare sidespejle m. varme, bakkamera, automatisk parkerings system, parkeringssensor (bag), parkeringssensor (for), træk, svingbart træk (manuel), dæktryksmåler, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab+ radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, android auto, apple carplay, trådløs mobilopladning, usb tilslutning, armlæn, bagagerumsdækken, isofix, kopholder, læderindtræk, splitbagsæde, læderrat, automatisk lys, fjernlysassistent, kurvelys, led kørelys, fuld led forlygter, airbag, abs, esp, servo, vognbaneassistent, automatisk nødbremsesystem, tagræling, mørktonede ruder i bag, ikke ryger, lev. nysynet.

🏦 Vi tilbyder finansiering med og uden udbetaling.

Kontakt os, så laver vi hurtigt en beregning. 🖥 carplace.dk - 📞 69 155 888

Den annonceret pris er inkl. leveringsomkostninger, ekskl. nummerpladegebyr kr. 1680, fartpilot, adaptiv fartpilot","Hillerød, Nordsjælland",id11929,Detaljer,"Vølundsvej 1, 3400 Hillerød",CVR-nr.: 38320386,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6372458
279.900 kr.,VW ID.4Pro Performance 5d,"5/2023, 9.000 km, 531 km rækkevidde, El","Vi tilbyder attraktiv forsikring! 

Bilen står klar til omgående levering! 

Vi er behjælpelige med opsætning af bilen samt eventuelle spørgsmål hertil!

Batteri & Lade Specifikationer 
- Rækkevidde på 517 km WLTP! 
- 77 kWh Batteri! 
- 3 faset Opladning! 
- 8 års garanti på batteri! 
- Hurtigladning: 125 kW (10-80 %): ca. 34 min. 

Bemærkelsesværdig Udstyr: 
*Adaptiv fartpilot
*Vognbaneassistent
*LED forlygter 
*Keyless go-start/nøglefri betjening
*Navigation 
*Apple CarPlay/Android Auto 
*Bakkamera med Parkeringssensorer
*Digitalt cockpit 
*Ambiente belysning 
*Varme i forsæder & rat 
*Trådløs mobil opladning
*Automatisk nødbremsesystem 

*Mere end 64 års kærlighed til brugte biler og glade kunder. Tjek vores Trustpilot* 

Vi tilbyder Digital fremvisning via bl.a. Face time da ca. 60 % af vores biler bliver solgt online 

Vi sidder altid klar på telefonen til, at modtage jeres henvendelser - tøv ikke med, at ringe 66119560

OBS! Importbil, udstyr kan afvige fra Dansk standard","Odense SV, Fyn",id1952,Detaljer,"Dalumvej 77, 5250 Odense SV",CVR-nr.: 10538009,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6372210
