Model,Pris,Kørte_kilometer,Link_til_bil
VW ID.4 Pro +NAVI+ACC+KAMERA+KLIMA+LM+EASY-OPEN+ZV,"50.593 €ab 666€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro +NAVI+ACC+KAMERA+KLIMA+LM+EASY-OPEN+ZV●○○○○ Hoher Preis: 50.593 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.700 €●●●●○ Guter Preis: 26.700 € zu 28.200 €●●●○○ Fair Preis: 28.200 € zu 31.200 €●●○○○ Erhöhter Preis: 31.200 € zu 32.700 €●○○○○ Hoher Preis: 32.700 € zu 59.400 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 210 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 0 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie, Scheckheftgepflegt×",0 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1815286126&num_on_page=1&page=11&search_id=56379390&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Volkswagen Pro Performance 204PS 77kWh SportKomfort,"38.900 €ab 513€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Volkswagen Pro Performance 204PS 77kWh SportKomfort●○○○○ Hoher Preis: 38.900 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 150 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 12230 kmAusstattung / Eigenschaften: Alarmanlage, Airbag, CD / Radio, Zentralverriegelung, Außenspiegel, Navigation, Regensensor, Sitzheizung, Scheckheftgepflegt×",12.230 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1894141733&num_on_page=2&page=11&search_id=56301865&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro Performance 77 kWh,"38.850 €ab 512€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro Performance 77 kWh●○○○○ Hoher Preis: 38.850 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 150 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 31000 kmAusstattung / Eigenschaften: Alarmanlage, Airbag, Alufelgen, Leichtmetallfelge, CD / Radio, Zentralverriegelung, Garantie, Außenspiegel, Navigation, Regensensor, Sitzheizung, Scheckheftgepflegt, Servolenkung, Anhängerkupplung×",31.000 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1901072211&num_on_page=2&page=11&search_id=56379390&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Volkswagen Pure *Navi*ACC*WKR*,"26.990 €ab 355€ finanzieren ↗●●●○○ Fair Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Volkswagen Pure *Navi*ACC*WKR*●●●○○ Fair Preis: 26.990 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 23.900 €●●●●○ Guter Preis: 23.900 € zu 25.200 €●●●○○ Fair Preis: 25.200 € zu 27.900 €●●○○○ Erhöhter Preis: 27.900 € zu 29.200 €●○○○○ Hoher Preis: 29.200 € zu 53.100 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 109 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 17500 kmAusstattung / Eigenschaften: ABS, Airbag, Alufelgen, Leichtmetallfelge, CD / Radio, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Navigation, Regensensor, Sitzheizung, Scheckheftgepflegt×",17.500 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1897603730&num_on_page=3&page=11&search_id=56379390&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro Performance AHK Matrix-LED KLIMA,"37.229 €ab 491€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro Performance AHK Matrix-LED KLIMA●○○○○ Hoher Preis: 37.229 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: LimousineLeistung: 150 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 17299 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie, Scheckheftgepflegt×",17.299 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1875098917&num_on_page=4&page=11&search_id=56379390&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Volkswagen Pro 77 kWh 210 kW Goal 5 Türen,546 €/ Monat,- km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1887535076&num_on_page=1&page=11&search_id=56301865&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro 195 kW 4MOTION +SHZ+NAV+CARPLAY+AHK+BT++,"39.450 €ab 520€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro 195 kW 4MOTION +SHZ+NAV+CARPLAY+AHK+BT++●○○○○ Hoher Preis: 39.450 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 195 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 12950 kmAusstattung / Eigenschaften: Alarmanlage, ABS, Airbag, Alufelgen, Leichtmetallfelge, Allrad, CD / Radio, Zentralverriegelung, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Außenspiegel, Navigation, Regensensor, Sitzheizung, Scheckheftgepflegt, Servolenkung, Anhängerkupplung, Fensterheber×",12.950 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1901220008&num_on_page=1&page=11&search_id=56379390&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Volkswagen Pro Performance 77 kWh 150 kW Pro,"36.990 €ab 487€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Volkswagen Pro Performance 77 kWh 150 kW Pro●○○○○ Hoher Preis: 36.990 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.700 €●●●●○ Guter Preis: 26.700 € zu 28.200 €●●●○○ Fair Preis: 28.200 € zu 31.200 €●●○○○ Erhöhter Preis: 31.200 € zu 32.700 €●○○○○ Hoher Preis: 32.700 € zu 59.400 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 150 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 508 kmAusstattung / Eigenschaften: ABS, Airbag, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Außenspiegel, Servolenkung, Fensterheber×",508 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1904893520&num_on_page=2&page=11&search_id=56379390&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Volkswagen Pure GOAL 125 kW (170 PS) 52 kWh 1-Gang-Automatik,391 €/ Monat,1 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1848442345&num_on_page=4&page=11&search_id=56301865&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro Performance Matrix Keyless Rfk WiRä,"30.889 €ab 406€ finanzieren ↗●●○○○ Erhöhter Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro Performance Matrix Keyless Rfk WiRä●●○○○ Erhöhter Preis: 30.889 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: LimousineLeistung: 150 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 29997 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie, Scheckheftgepflegt×",29.997 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1901027586&num_on_page=3&page=11&search_id=56379390&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Volkswagen NAVI*SHZ*ACC*LED Pure 109 kW City,"23.970 €ab 315€ finanzieren ↗●●●●● Superpreis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Volkswagen NAVI*SHZ*ACC*LED Pure 109 kW City●●●●● Superpreis: 23.970 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 23.900 €●●●●○ Guter Preis: 23.900 € zu 25.200 €●●●○○ Fair Preis: 25.200 € zu 27.900 €●●○○○ Erhöhter Preis: 27.900 € zu 29.200 €●○○○○ Hoher Preis: 29.200 € zu 53.100 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 109 PSErstzulassung: 2021Kraftstoff: ElektroGetriebe: AKilometerzähler: 21009 kmAusstattung / Eigenschaften: ABS, Airbag, CD / Radio, Zentralverriegelung, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Außenspiegel, Navigation, Regensensor, Sitzheizung, Scheckheftgepflegt, Servolenkung, Fensterheber×",21.009 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1903745999&num_on_page=1&page=11&search_id=56379390&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro 210 kW (286 PS) 77 kWh 1-Gang-Automatik,"65.947 €ab 869€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro 210 kW (286 PS) 77 kWh 1-Gang-Automatik●○○○○ Hoher Preis: 65.947 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.700 €●●●●○ Guter Preis: 26.700 € zu 28.200 €●●●○○ Fair Preis: 28.200 € zu 31.200 €●●○○○ Erhöhter Preis: 31.200 € zu 32.700 €●○○○○ Hoher Preis: 32.700 € zu 59.400 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: LimousineLeistung: 210 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 0 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie, Scheckheftgepflegt×",0 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1804020266&num_on_page=2&page=11&search_id=56379390&title=VW+ID.4+gebraucht+kaufen
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
VW ID.4 Pro Pakete: Komf./Design/Infot./Assistenz,"45.490 €ab 599€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro Pakete: Komf./Design/Infot./Assistenz●○○○○ Hoher Preis: 45.490 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.700 €●●●●○ Guter Preis: 26.700 € zu 28.200 €●●●○○ Fair Preis: 28.200 € zu 31.200 €●●○○○ Erhöhter Preis: 31.200 € zu 32.700 €●○○○○ Hoher Preis: 32.700 € zu 59.400 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 150 PSErstzulassung: 2024Kraftstoff: ElektroGetriebe: AKilometerzähler: 6000 kmAusstattung / Eigenschaften: Alarmanlage, ABS, Airbag, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Außenspiegel, Navigation, Standheizung, Regensensor, Sitzheizung, Scheckheftgepflegt, Schiebedach, Servolenkung, Fensterheber×",6.000 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1905524793&num_on_page=1&page=12&premium=false&search_id=56379456&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro Perf. 1st Max 21 WÄRMEP. ACC MATRIX PANO,"32.640 €ab 430€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro Perf. 1st Max 21 WÄRMEP. ACC MATRIX PANO●○○○○ Hoher Preis: 32.640 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.800 €●●●●○ Guter Preis: 25.800 € zu 27.200 €●●●○○ Fair Preis: 27.200 € zu 30.100 €●●○○○ Erhöhter Preis: 30.100 € zu 31.500 €●○○○○ Hoher Preis: 31.500 € zu 57.300 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 150 PSErstzulassung: 2020Kraftstoff: ElektroGetriebe: AKilometerzähler: 55219 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie×",55.219 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1903475714&num_on_page=2&page=12&premium=false&search_id=56379456&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Volkswagen Pure Performance 125 kW,"25.990 €ab 342€ finanzieren ↗●●●●○ Guter Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Volkswagen Pure Performance 125 kW●●●●○ Guter Preis: 25.990 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 125 PSErstzulassung: 2021Kraftstoff: ElektroGetriebe: AKilometerzähler: 16500 kmAusstattung / Eigenschaften: Alufelgen, Leichtmetallfelge, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Wegfahrsperre, Außenspiegel, Navigation, Servolenkung, Fensterheber×",16.500 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1901336705&num_on_page=3&page=12&premium=false&search_id=56379456&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Volkswagen GTX Sportpaket ''Plus'' Wärmepumpe,"42.900 €ab 566€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Volkswagen GTX Sportpaket ''Plus'' Wärmepumpe●○○○○ Hoher Preis: 42.900 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 220 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 40000 kmAusstattung / Eigenschaften: Alarmanlage, ABS, Airbag, Alufelgen, Leichtmetallfelge, Allrad, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Wegfahrsperre, Aktives Kurvenlicht, Außenspiegel, Navigation, Standheizung, Regensensor, Elektr. verstellbarer Sitz, Sitzheizung, Scheckheftgepflegt, Servolenkung, Anhängerkupplung, Fensterheber×",40.000 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1897532766&num_on_page=1&page=12&search_id=56379456&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro Perf. IQ.LIGHT 20 PANO NAVI AREA-VIEW ACC,"35.749 €ab 471€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro Perf. IQ.LIGHT 20 PANO NAVI AREA-VIEW ACC●○○○○ Hoher Preis: 35.749 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 150 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 26790 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie×",26.790 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1848463124&num_on_page=2&page=12&search_id=56379456&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro Performance 82 kW/h Wärmep.*AHK*8-fach,"37.890 €ab 499€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro Performance 82 kW/h Wärmep.*AHK*8-fach●○○○○ Hoher Preis: 37.890 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.700 €●●●●○ Guter Preis: 26.700 € zu 28.200 €●●●○○ Fair Preis: 28.200 € zu 31.200 €●●○○○ Erhöhter Preis: 31.200 € zu 32.700 €●○○○○ Hoher Preis: 32.700 € zu 59.400 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 150 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 6100 kmAusstattung / Eigenschaften: Alarmanlage, ABS, Airbag, Alufelgen, Leichtmetallfelge, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Außenspiegel, Navigation, Standheizung, Regensensor, Sitzheizung, Scheckheftgepflegt, Servolenkung, Anhängerkupplung, Fensterheber×",6.100 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1901098307&num_on_page=3&page=12&search_id=56379456&title=VW+ID.4+gebraucht+kaufen
"VW ID.4 Volkswagen GTX 4M ACC Navi DCC 8-fach 20"" IQ.Light HUD","33.389 €ab 439€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Volkswagen GTX 4M ACC Navi DCC 8-fach 20"" IQ.Light HUD●○○○○ Hoher Preis: 33.389 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 220 PSErstzulassung: 2021Kraftstoff: ElektroGetriebe: AKilometerzähler: 34950 kmAusstattung / Eigenschaften: Alarmanlage, ABS, Airbag, Alufelgen, Leichtmetallfelge, Allrad, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Wegfahrsperre, Aktives Kurvenlicht, Außenspiegel, Navigation, Standheizung, Regensensor, Elektr. verstellbarer Sitz, Sitzheizung, Scheckheftgepflegt, Schiebedach, Servolenkung, Fensterheber×",34.950 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1899223757&num_on_page=4&page=12&search_id=56379456&title=VW+ID.4+gebraucht+kaufen
"VW ID.4 Volkswagen Pro Performance Navi,Matrix,AHKACC","41.960 €ab 553€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Volkswagen Pro Performance Navi,Matrix,AHKACC●○○○○ Hoher Preis: 41.960 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 150 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 24444 kmAusstattung / Eigenschaften: Alarmanlage, ABS, Airbag, Alufelgen, Leichtmetallfelge, CD / Radio, Zentralverriegelung, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Aktives Kurvenlicht, Außenspiegel, Navigation, Regensensor, Elektr. verstellbarer Sitz, Sitzheizung, Scheckheftgepflegt, Schiebedach, Servolenkung, Anhängerkupplung, Fensterheber×",24.444 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1894197330&num_on_page=5&page=12&search_id=56379456&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Volkswagen Pro Performance 204PS 77kWh,"29.400 €ab 388€ finanzieren ↗●●●○○ Fair Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Volkswagen Pro Performance 204PS 77kWh●●●○○ Fair Preis: 29.400 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 150 PSErstzulassung: 2021Kraftstoff: ElektroGetriebe: AKilometerzähler: 16060 kmAusstattung / Eigenschaften: Airbag, CD / Radio, Außenspiegel, Navigation, Scheckheftgepflegt×",16.060 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1894217263&num_on_page=1&page=12&search_id=56301887&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro Performance 150kW-77KWh-Matrix-20&quot;-,"36.850 €ab 485€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro Performance 150kW-77KWh-Matrix-20&quot;-●○○○○ Hoher Preis: 36.850 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 150 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 36941 kmAusstattung / Eigenschaften: Alarmanlage, ABS, Airbag, Alufelgen, Leichtmetallfelge, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Aktives Kurvenlicht, Außenspiegel, Navigation, Standheizung, Regensensor, Elektr. verstellbarer Sitz, Sitzheizung, Scheckheftgepflegt, Servolenkung, Fensterheber×",36.941 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1849720550&num_on_page=1&page=12&search_id=56379456&title=VW+ID.4+gebraucht+kaufen
VW ID.4 GTX 4Motion /Wärmepumpe/AHK /Garantie,"46.380 €ab 611€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 GTX 4Motion /Wärmepumpe/AHK /Garantie●○○○○ Hoher Preis: 46.380 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 220 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 17500 kmAusstattung / Eigenschaften: Alarmanlage, ABS, Airbag, Alufelgen, Leichtmetallfelge, Allrad, CD / Radio, Zentralverriegelung, Bordcomputer, Stabilitätskontrolle (ESP), Garantie, Wegfahrsperre, Aktives Kurvenlicht, Außenspiegel, Navigation, Standheizung, Regensensor, Sitzheizung, Scheckheftgepflegt, Servolenkung, Anhängerkupplung, Fensterheber×",17.500 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1730154586&num_on_page=2&page=12&search_id=56379456&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro 210 kW (286 PS) 77 kWh 1-Gang-Automatik,"55.938 €ab 737€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro 210 kW (286 PS) 77 kWh 1-Gang-Automatik●○○○○ Hoher Preis: 55.938 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.700 €●●●●○ Guter Preis: 26.700 € zu 28.200 €●●●○○ Fair Preis: 28.200 € zu 31.200 €●●○○○ Erhöhter Preis: 31.200 € zu 32.700 €●○○○○ Hoher Preis: 32.700 € zu 59.400 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 210 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 0 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie×",0 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1848562948&num_on_page=3&page=12&search_id=56379456&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro Perf. IQ.LIGHT 20 PANO NAVI AREA-VIEW ACC,"35.749 €ab 471€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro Perf. IQ.LIGHT 20 PANO NAVI AREA-VIEW ACC●○○○○ Hoher Preis: 35.749 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 150 PSErstzulassung: 2022Kraftstoff: ElektroGetriebe: AKilometerzähler: 26790 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie×",26.790 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1848696049&num_on_page=5&page=12&search_id=56301887&title=VW+ID.4+gebraucht+kaufen
