Model,Pris_DKK,Kilometer_kategori,Land
VW ID.4Pro Performance 1ST 5d,224800,0-10k,Danmark
VW ID.4Tech Performance 5d,269900,0-10k,Danmark
VW ID.4Max Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,254500,0-10k,Danmark
VW ID.4Pro Performance 5d,269900,0-10k,Danmark
VW ID.4Max Performance 5d,264900,0-10k,Danmark
VW ID.4Pro Performance 5d,329900,0-10k,Danmark
VW ID.4Max Performance 5d,284800,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,264264,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,272900,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,359900,0-10k,Danmark
VW ID.4Pro Performance 5d,249900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,339800,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,269900,0-10k,Danmark
VW ID.4Life 5d,289900,0-10k,Danmark
VW ID.4Life 5d,289900,0-10k,Danmark
VW ID.4Pro Performance Life 5d,224500,0-10k,Danmark
VW ID.4Max Performance 5d,259800,10-50k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.41ST 5d,264900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,249900,10-50k,Danmark
VW ID.4Max Performance 5d,289800,0-10k,Danmark
VW ID.4Pro 5d,359900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,279800,0-10k,Danmark
VW ID.4Style 4Motion 5d,404900,0-10k,Danmark
VW ID.41ST Pro 5d,239900,0-10k,Danmark
VW ID.4Pro Performance Family 5d,234800,0-10k,Danmark
VW ID.4GTX 4Motion 5d,309900,0-10k,Danmark
VW ID.4Pro Performance 5d,264700,0-10k,Danmark
VW ID.4Pro Performance 5d,289800,0-10k,Danmark
VW ID.4Pro Performance 5d,329900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 5d,274700,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,229900,0-10k,Danmark
VW ID.41ST Pro 5d,259500,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,234900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,264900,0-10k,Danmark
VW ID.4Pro Performance Business 5d,234500,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,244955,0-10k,Danmark
VW ID.4Style 5d,369900,0-10k,Danmark
VW ID.4Pro Performance 5d,294900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,249990,10-50k,Danmark
VW ID.4Pro Performance 75 Years Edition 5d,339900,10-50k,Danmark
VW ID.4Pro Performance 1ST 5d,242900,0-10k,Danmark
VW ID.4Pro Performance 5d,304700,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259900,0-10k,Danmark
VW ID.4Pro Performance 5d,284900,10-50k,Danmark
VW ID.4Pro Performance Life Plus 5d,294800,10-50k,Danmark
VW ID.4GTX 4Motion 5d,277900,10-50k,Danmark
VW ID.4Pro Performance 1ST 5d,244900,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance Family 5d,249800,0-10k,Danmark
VW ID.4GTX 4Motion 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,286500,0-10k,Danmark
VW ID.4Pro Performance 5d,224795,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,223900,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,299900,0-10k,Danmark
VW ID.41ST Max 5d,249500,0-10k,Danmark
VW ID.4Pure 5d,219700,0-10k,Danmark
VW ID.41ST Pro 5d,239999,0-10k,Danmark
VW ID.4Life 5d,289900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,179700,10-50k,Danmark
VW ID.4Pro Performance 1ST 5d,217800,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,248900,0-10k,Danmark
VW ID.41ST Pro 5d,249900,0-10k,Danmark
VW ID.41ST 5d,269800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,227500,0-10k,Danmark
VW ID.4Pro Performance Family 5d,274800,10-50k,Danmark
VW ID.4Pro Performance 1ST Max 5d,289500,10-50k,Danmark
VW ID.4Pro Performance Tech 5d,249900,0-10k,Danmark
VW ID.4Pro Performance Business 5d,259500,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,234800,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,289500,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,213900,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,294500,0-10k,Danmark
VW ID.4Pro Performance Max 5d,289900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,309990,0-10k,Danmark
VW ID.4Pro Performance 5d,249700,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,219900,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,249500,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,264900,0-10k,Danmark
VW ID.4Pro Performance Max 5d,259900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,254900,0-10k,Danmark
VW ID.4Tech Performance 5d,264900,0-10k,Danmark
VW ID.4Pro Performance 5d,299500,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239780,0-10k,Danmark
VW ID.4Pro Performance 5d,249900,0-10k,Danmark
VW ID.41ST 5d,229900,0-10k,Danmark
VW ID.4Style 5d,387900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,229901,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,244890,0-10k,Danmark
VW ID.4Pro Performance Family 5d,239000,10-50k,Danmark
VW ID.4Pro Performance 1ST Max 5d,264500,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,274900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,319700,10-50k,Danmark
VW ID.4Pro Performance Max 5d,239700,0-10k,Danmark
VW ID.4Pro Performance 5d,274700,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,10-50k,Danmark
VW ID.4Pure 5d,199900,0-10k,Danmark
VW ID.4Pro Performance 5d,294900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,229900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,369900,0-10k,Danmark
VW ID.4Pro Performance 5d,337500,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,264800,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,249900,0-10k,Danmark
VW ID.4Max Performance 5d,264900,0-10k,Danmark
VW ID.4Pro Performance 5d,349900,0-10k,Danmark
VW ID.4Pro Performance 5d,283900,0-10k,Danmark
VW ID.4Pro 5d,250000,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,214900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,289900,10-50k,Danmark
VW ID.4Pro Performance 5d,244900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,289700,10-50k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,244800,0-10k,Danmark
VW ID.4Pro Performance Upgrade 5d,289900,0-10k,Danmark
VW ID.4Pro 5d,279700,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 5d,284900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,323880,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,218900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,229900,0-10k,Danmark
VW ID.4Tech Performance 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Style 5d,229900,0-10k,Danmark
VW ID.4Pure Performance 5d,209900,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,235000,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,176700,0-10k,Danmark
VW ID.4Pure Performance 5d,188000,0-10k,Danmark
VW ID.4Pro Performance 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,339800,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,284500,0-10k,Danmark
VW ID.4Life Performance 5d,247000,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,269900,0-10k,Danmark
VW ID.4Pro Performance Life 5d,239700,0-10k,Danmark
VW ID.4Pro Performance 5d,298900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259700,0-10k,Danmark
VW ID.4Pure Performance 5d,189500,0-10k,Danmark
VW ID.4GTX 4Motion 5d,379900,10-50k,Danmark
VW ID.4Pro Performance 5d,269700,0-10k,Danmark
VW ID.41ST Max 5d,264800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,217900,0-10k,Danmark
VW ID.4Style 5d,401184,0-10k,Danmark
VW ID.4Pro Performance Business 5d,254800,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,239500,0-10k,Danmark
VW ID.4Pro Performance 5d,305000,0-10k,Danmark
VW ID.4Pro Performance 5d,294900,0-10k,Danmark
VW ID.4Pro Performance 5d,274700,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239800,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,274900,0-10k,Danmark
VW ID.4Pure Performance 5d,209900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 5d,284900,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,284900,0-10k,Danmark
VW ID.4Pure Performance 5d,229900,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,284900,0-10k,Danmark
VW ID.4Max Performance 5d,238600,0-10k,Danmark
VW ID.4Pure Performance 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Pure 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 5d,224900,0-10k,Danmark
VW ID.4Pro Performance 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,239900,0-10k,Danmark
VW ID.4Style 5d,388000,0-10k,Danmark
VW ID.4Style 5d,397000,0-10k,Danmark
VW ID.4Pure 5d,224900,0-10k,Danmark
VW ID.4Style 4Motion 5d,417000,0-10k,Danmark
VW ID.41ST 5d,189700,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,278700,0-10k,Danmark
VW ID.4Pro Active 5d,279990,0-10k,Danmark
VW ID.4GTX 4Motion 5d,359900,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,242900,0-10k,Danmark
VW ID.4Pro Performance 5d,284900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,304900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,443418,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,274700,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,289700,0-10k,Danmark
VW ID.4Pro Performance 5d,214900,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,314900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,229000,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance Upgrade 5d,244995,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,264900,0-10k,Danmark
VW ID.4Pro Performance 5d,219800,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,229789,0-10k,Danmark
VW ID.4Pro 5d,324800,0-10k,Danmark
VW ID.4Pro Performance Family 5d,254900,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Style 4Motion 5d,429900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,214100,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,219900,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pure 5d,219900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,259000,0-10k,Danmark
VW ID.4Pro Performance 5d,249900,0-10k,Danmark
VW ID.4Pure 5d,244900,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,229990,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259900,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,10-50k,Danmark
VW ID.4GTX 4Motion 5d,308900,0-10k,Danmark
VW ID.4Pro Performance 5d,339000,0-10k,Danmark
VW ID.4Pro 5d,259800,0-10k,Danmark
VW ID.4Pro Performance Max 5d,284900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,268900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,289900,0-10k,Danmark
VW ID.41ST Pro 5d,229000,0-10k,Danmark
VW ID.4Pro Performance Max 5d,234900,0-10k,Danmark
VW ID.4Pro Performance 5d,299700,0-10k,Danmark
VW ID.4Pro Performance 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,282000,0-10k,Danmark
VW ID.4Pro Performance 5d,279800,0-10k,Danmark
VW ID.4Pro Performance 5d,209900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 5d,294900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,229700,0-10k,Danmark
VW ID.4Pro Performance Max 5d,264900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 5d,259700,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 5d,259700,0-10k,Danmark
VW ID.4Pro Performance 5d,249800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,219900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,229900,0-10k,Danmark
VW ID.4Pure Performance 5d,189900,0-10k,Danmark
VW ID.4Pro Performance 5d,197700,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 5d,317900,10-50k,Danmark
VW ID.4Pro Performance 5d,324900,10-50k,Danmark
VW ID.41ST Max 5d,309995,0-10k,Danmark
VW ID.41ST Max 5d,279995,0-10k,Danmark
VW ID.4Pro Performance 5d,299995,0-10k,Danmark
VW ID.4Pro Performance 5d,294900,10-50k,Danmark
VW ID.41ST Max 5d,264900,0-10k,Danmark
VW ID.41ST 5d,239700,10-50k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,10-50k,Danmark
VW ID.4Pro Performance Business 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 5d,339900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,339900,0-10k,Danmark
VW ID.4Pro Performance Life 5d,254900,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4Pro Performance Family 5d,259259,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,264789,0-10k,Danmark
VW ID.4Pro Performance 5d,329900,0-10k,Danmark
VW ID.4Pro Performance Max 5d,229500,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,239800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,228900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.41ST Max 5d,264900,10-50k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 5d,199900,0-10k,Danmark
VW ID.4Pro Performance Life 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,10-50k,Danmark
VW ID.4Pro Performance 1ST 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 5d,269500,0-10k,Danmark
VW ID.41ST Pro 5d,249800,10-50k,Danmark
VW ID.4Pro Performance 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,229900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,289900,0-10k,Danmark
VW ID.41ST Plus Max 5d,274900,0-10k,Danmark
VW ID.41ST Pro 5d,249800,0-10k,Danmark
VW ID.4Pro Performance 5d,284900,0-10k,Danmark
VW ID.4Pro Performance Family 5d,274900,0-10k,Danmark
VW ID.4Pro Performance 5d,282900,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,289900,0-10k,Danmark
VW ID.41ST Max 5d,299900,0-10k,Danmark
VW ID.41ST Max 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,239900,0-10k,Danmark
VW ID.4Pro Performance Max 5d,279980,0-10k,Danmark
VW ID.41ST Pro 5d,244900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,374900,10-50k,Danmark
VW ID.41ST Pro 5d,254900,0-10k,Danmark
VW ID.4Pro Performance 5d,288800,10-50k,Danmark
VW ID.4Pro Performance 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,299900,0-10k,Danmark
VW ID.4Pure Performance 5d,219900,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 5d,329900,0-10k,Danmark
VW ID.4Pro Performance 5d,319500,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,264900,0-10k,Danmark
VW ID.4Pro Performance 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,319500,10-50k,Danmark
VW ID.41ST Max 5d,259600,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Style 5d,397585,0-10k,Danmark
VW ID.41ST Max 5d,224900,0-10k,Danmark
VW ID.41ST Pro 5d,259800,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Tech Performance 5d,254400,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,275800,0-10k,Danmark
VW ID.4Pro Performance 5d,279000,0-10k,Danmark
VW ID.4Pro Performance Business 5d,234900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4Pro Performance Business 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,264900,0-10k,Danmark
VW ID.4Pure Performance 5d,224900,0-10k,Danmark
VW ID.4Tech Performance 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,274900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,269900,10-50k,Danmark
VW ID.4Pro Performance Family 5d,229800,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,334900,10-50k,Danmark
VW ID.4Pro Performance Tech 5d,279900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 5d,234900,0-10k,Danmark
VW ID.41ST Max 5d,269800,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,249900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,264900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,289900,0-10k,Danmark
VW ID.41ST Pro 5d,249800,0-10k,Danmark
VW ID.4Pro Performance 5d,309800,0-10k,Danmark
VW ID.4Pro 5d,294800,0-10k,Danmark
VW ID.4Pro 5d,286800,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,209000,0-10k,Danmark
VW ID.4Pro Performance 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,227700,0-10k,Danmark
VW ID.41ST 5d,248800,0-10k,Danmark
VW ID.4Tech Performance 5d,278900,0-10k,Danmark
VW ID.4Pro Performance 5d,289500,0-10k,Danmark
VW ID.4Pro 5d,298900,10-50k,Danmark
VW ID.4Pro Performance 1ST 5d,238900,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,298900,0-10k,Danmark
VW ID.4Pro Performance 5d,359700,0-10k,Danmark
VW ID.4Pure Performance 5d,209800,0-10k,Danmark
VW ID.4Pro Performance 5d,328900,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 5d,309900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,214300,0-10k,Danmark
VW ID.4Pro Performance 5d,299800,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,339700,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,339700,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,269900,0-10k,Danmark
VW ID.4Style 5d,412869,0-10k,Danmark
VW ID.4Pro Performance Business 5d,254900,0-10k,Danmark
VW ID.41ST 5d,219900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,274900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,269900,0-10k,Danmark
VW ID.4Style 5d,402980,0-10k,Danmark
VW ID.4Pure Performance 5d,199800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,249900,0-10k,Danmark
VW ID.4Pro Performance 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,259500,0-10k,Danmark
VW ID.4Pro Performance 5d,354900,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 5d,259900,0-10k,Danmark
VW ID.4Tech Performance 5d,284500,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,244900,0-10k,Danmark
VW ID.4Tech Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,279900,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 5d,284600,0-10k,Danmark
VW ID.4Pro Performance 5d,315000,0-10k,Danmark
VW ID.41ST 5d,244600,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,212200,0-10k,Danmark
VW ID.4Pro Performance 5d,354900,0-10k,Danmark
VW ID.4Pro Performance Max 5d,309900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,289995,0-10k,Danmark
VW ID.41ST Max 5d,309995,0-10k,Danmark
VW ID.41ST Max 5d,289995,0-10k,Danmark
VW ID.41ST Max 5d,279995,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,264900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,167700,10-50k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pure 5d,224900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,399900,0-10k,Danmark
VW ID.4Pro Performance Business 5d,214300,0-10k,Danmark
VW ID.4Pro Performance 5d,274800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,224700,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,284900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,254900,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,279400,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,0-10k,Danmark
VW ID.41ST Pro 5d,234900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,233700,0-10k,Danmark
VW ID.4Pro Performance Max 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,218800,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,299000,0-10k,Danmark
VW ID.4Pro Performance 5d,289900,0-10k,Danmark
VW ID.4Pro Performance 5d,259900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,334900,0-10k,Danmark
VW ID.41ST Max 5d,279900,0-10k,Danmark
VW ID.4Pure 5d,209900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,244900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,349900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 5d,284500,0-10k,Danmark
VW ID.4Max Performance 5d,284800,0-10k,Danmark
VW ID.4Pro Performance 5d,334800,10-50k,Danmark
VW ID.4GTX 4Motion 5d,284900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,305000,0-10k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.41ST 5d,234700,0-10k,Danmark
VW ID.4Pure 5d,214800,0-10k,Danmark
VW ID.4Pro Performance 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 5d,224700,0-10k,Danmark
VW ID.4Tech Performance 5d,279900,0-10k,Danmark
VW ID.4Pro Family 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,254900,0-10k,Danmark
VW ID.4Pro Performance 5d,199700,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 5d,314900,0-10k,Danmark
VW ID.4Pro Performance 1ST Max 5d,259800,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,264900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,269900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,249800,0-10k,Danmark
VW ID.4Pro Performance 5d,299800,0-10k,Danmark
VW ID.4Life Performance 5d,254700,0-10k,Danmark
VW ID.4Pro Performance 5d,229900,0-10k,Danmark
VW ID.4Pro Performance Family 5d,274900,0-10k,Danmark
VW ID.4Pro 5d,224900,0-10k,Danmark
VW ID.4Pro 5d,289900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,329900,0-10k,Danmark
VW ID.4Pro Performance 5d,279800,0-10k,Danmark
VW ID.4Pro Performance Active 5d,344900,0-10k,Danmark
